,id_str,text,screen_name,search_term,search_term_group,source,ibm_watson_sentiment,sentiment
160,1452341221616230400,"Mc Disney é o novo Coach Fazenda, cala a boca menino, morre de medo de ir pra roça, eu hein vai lavar a casinha do cachorro #Fazenda13",jey_loow,disney+,disney+,Twitter for Android,-0.9598190000000001,-1
5650,1450918489192112128,Achei legal o filme As Passageiras #NightTeeth 🤘 da #Netflix https://t.co/XLaoAiHiH9,AergesMonstrum,netflix,netflix,Twitter Web App,0.7123010000000001,1
589,1451317424981225472,@Eulavomeucarv Será que não é por culpa do cara que mexe com a economia do país e que falou que era inadmissível fi… https://t.co/Vm1gR8PJst,mandararj70,disney+,disney+,Twitter for Android,-0.8687370000000001,-1
1291,1450206318808215552,Disney altera data de lançamento de filmes da Marvel --&gt; https://t.co/HNXg1GRNC6 https://t.co/wE5bofIlLx,sitevirgula,disney+,disney+,mLabs - Gestão de Redes Sociais,0.52835,1
1049,1450593277569273856,O streaming da Disney parece uma vídeo locadora e caro 👎🏽,abnneralexandre,disney+,disney+,Twitter for Android,-0.8975190000000001,-1
1655,1449443915401154560,"a mesma coisa de quem fala: ai, pq a Disney parou de produzir animações infantis...

GENTE? como se criança fosse i… https://t.co/X1yPEoJdIQ",heygabreel,disney+,disney+,Twitter for Android,-0.727676,-1
5733,1450885358762303488,"sobre relacionamentos 

1. Não (O certo seria talvez, mas sem ter ctz é melhor não)
2. 3 vezes
3. PUTS 
4. Vamo dar… https://t.co/SFVkDCWx6C",Audrorius,netflix,netflix,Twitter Web App,0.709993,1
7709,1449462722408685568,"Não acredito que mataram o Dan, que merda em Netflix #LuciferNetflix",gabslxx,netflix,netflix,Twitter for iPhone,-0.985499,-1
3011,1450956017097916416,"Acabei de assinar o globoplay para ver Orgias Secretas, que sabor viu",Fellipou,globoplay,globoplay,Twitter for Android,-0.531917,-1
4028,1449460461997592576,@HBOMax renova #Titãs para a sua quarta temporada&gt; https://t.co/2mRwPeLCaZ https://t.co/0FllfajdSm,TorreVigilancia,hbomax,hbomax,Twitter Web App,0.7838229999999999,1
756,1451011673423335424,@josezao04 @FortalezaEC O Fortaleza está na Disney enquanto o Atlético está botando no nosso cu com ódio,cabecao_16,disney+,disney+,Twitter for Android,-0.937684,-1
2288,1451299521191874560,"@lacerda @globoplay arrebento com um homi desse, Jesus amado https://t.co/aAT0As26ji",nazavermelha,globoplay,globoplay,Twitter for Android,0.77913,1
464,1451616714060402688,"Foi-se um teto. Vem inflação. Agora nem empregada e nem a classe média vai para a Disney. Acabou ""aquela festa danada""",andrejank,disney+,disney+,Twitter Web App,-0.922528,-1
3220,1452443241702383616,"@neyllorpaiva Ahh :( 
Só em época de BBB eu assino globoplay uabsuahsia.",ahquemdiga,globoplay,globoplay,Twitter for Android,-0.689876,-1
4396,1452067042970976256,@cielofavs nossa amo cinema e netflix não sei decidir HAPPY SERQUEL DAY,mondlermills,netflix,netflix,Twitter for iPhone,0.969342,1
942,1450658318712811520,@philosopop Queria q o araujo puxasse o disney da baia. Ja pensou?,GlauAbdo,disney+,disney+,Twitter for iPhone,-0.778457,-1
6898,1450130937191272448,"""Maid"", na Netflix: se você ainda não conhece Margaret Qualley, guarde e... https://t.co/65LS9CcLde via @YouTube",AMSBorges,netflix,netflix,Twitter for iPhone,0.774403,1
745,1451033576384913408,Próxima roça eu acho que o Bil ponhe o MC Disney na roça 👏🏼 #AFazenda,QgBileide,disney+,disney+,Twitter for Android,-0.598604,-1
1600,1449553756107034624,"@rezerofagg @Chizurufag @Gui_Yuuki Acho q já tinha falado e eu to na disney

Nessa parte ela já é ruim, mas ainda piora 🥶",luiiss7am,disney+,disney+,Twitter for Android,-0.9747309999999999,-1
4976,1451363928450248704,💣 Polêmica na Netflix: Funcionários protestam contra produção transfóbica e comediante debocha de manifestantes.… https://t.co/mADImNqBlR,MetroJornal,netflix,netflix,TweetDeck,-0.796804,-1
3140,1450852090532741120,Vou troca a senha do meu globoplay hoje! Não quero ter dificuldades pra assistir verdades secretas,monickykaneda,globoplay,globoplay,Twitter for iPhone,-0.8283209999999999,-1
4039,1449562644281794560,"@juliolguedes No caso dessa crítica fandom da hbomax hahahaha...ser fã de alguma coisa é tenso, mas de empresa, plmds",MellamoSully,hbomax,hbomax,Twitter for Android,-0.711488,-1
6155,1450618062449881088,"Fazia muito tempo que uma serie (YOU, da netflix) não me dava tanto gatilho, pegava em tanto ponto dolorido meu, co… https://t.co/sU8eDW4FsR",Tony_Stonem,netflix,netflix,Twitter for iPhone,-0.912523,-1
2687,1450997036011118592,@RomuloEstrela @globoplay Vamo dançar,dodogsssss,globoplay,globoplay,Twitter for Android,0.8644350000000001,1
6402,1450485179395489792,"@SerieManiacos La vem Netflix com essa frescura de parte, acho que sou o único que consegue aguentar até a segunda… https://t.co/RXa6pOqDvr",leomar_omena,netflix,netflix,Twitter for Android,-0.609453,-1
4604,1451750321391341568,"Ja pode lançar a 3 temp de lockr e key @netflix, tenho tempo pra esperar n fia",ericktelli,netflix,netflix,Twitter for Android,-0.603301,-1
7055,1449937145544724480,@Tatatrt @MauMeirelles Não é possível tem alguém filmando esse rolê pra vender pro Netflix,ortopedoc,netflix,netflix,Twitter for iPhone,-0.610452,-1
3666,1449892126049832960,@FiorottoBeatriz Espero q eles joguem na HBO MAX na hora…não seja igual o HBO GO q caia na hora do GoT,OgaMendonca,hbo max,hbomax,Twitter for iPad,-0.659021,-1
3892,1451665874071527424,"@Tonzinho_Hehe @Kyumers o da Stargirl eu vi uns uniformes e achei feio demais kkk' mas se for igualmente ""tosco"" eu… https://t.co/Q4JbaEAUub",thedanvelez,hbomax,hbomax,Twitter Web App,-0.5229050000000001,-1
6192,1450602328793489408,YouTube: A Batalha Esquecida – Crítica do filme da Netflix… https://t.co/FyvT0p7wEl https://t.co/4KUTunQLO9,fps5000,netflix,netflix,WordPress.com,0.618046,1
4491,1451972146981392384,"Reassistindo Cowboy Bebop agr que ta na netflix, que anime bom caras slc",l_nittaa,netflix,netflix,Twitter for Android,0.716325,1
5384,1451076666764181504,comecei essa série my name da netflix,skyebennets,netflix,netflix,Twitter for iPhone,-0.5624560000000001,-1
4483,1451979946570756096,"a Gossip tá narrando uma série da netflix, to amando 🤣🤣",ViStefany2,netflix,netflix,Twitter for iPhone,0.967563,1
7485,1449606878506455040,"@NetflixBrasil Eu preciso da máscara e o uniforme do triângulo ou do quadrado, nunca te pedi nada, viu Netflix, E v… https://t.co/Qg8CkXvct1",joao_naletto,netflix,netflix,Twitter for Android,-0.68297,-1
6074,1450652095787544576,"Falou muito e disse nada. Reforçou o compromisso com a comunidade LGBTQ+, a diversidade que a Netflix estimula e co… https://t.co/Osj7OyEogN",df_porto,netflix,netflix,Twitter for Android,0.8755809999999999,1
2204,1451351241779564544,@globoplay quando vcs vão colocar Ciranda de Pedra e Sinhá Moça na plataforma? Acordem plmdds,deodoraniemann,globoplay,globoplay,Twitter for Android,-0.8398969999999999,-1
4466,1452005054999891968,"@FlavioWizard @pedropoeira Eu queria rever, mas tiraram da Netflix",Likahmoto,netflix,netflix,Twitter for Android,-0.735582,-1
4097,1449329549133721600,"@hbomaxbr_portal bom dia, portal vc sabe de dizer se na hora do DcfanDone. A HBOMAX vai criar alguma tela com a tra… https://t.co/0vRywgfAG6",2TrYpA9,hbomax,hbomax,Twitter for Android,0.875883,1
7744,1449438605659844608,eu nao tô acreditando que pretty smart terminou daquele jeito PELO AMOR DE DEUS NETFLIX SE VC CANCELAR EU TE MATO,laraayurii,netflix,netflix,Twitter for Android,-0.685005,-1
3798,1449416802698776576,"@JonatasXB117 @Lancaster1222 Pior que a HBO Max tem o melhor catálogo, ao lado do PrimeVideo e Telecine. Bem que po… https://t.co/1Acw14GoyZ",FiguraCrazy,hbo max,hbomax,Twitter for Android,0.839534,1
5616,1450939785850277888,"Casa toda pra mim, um monte de comida e Netflix, eu não quero mas nada! 🥰🥰🥰",Leny_sousa1,netflix,netflix,Twitter for iPhone,-0.874134,-1
3611,1450166956733210624,Cancelei todos os serviços de Streaming. Deixei apenas HBO Max e Prime Video pq é baratinho.,_zorato,hbo max,hbomax,Twitter Web App,-0.9149149999999999,-1
1409,1450120853258215424,E lá vamos nós pra Disney mudando o calendário de novo https://t.co/OBGvWz67kq,sr_artie,disney+,disney+,Twitter Web App,0.657782,1
2308,1451275451540901888,@renereserv_ @mathbeniciio @globoplay @Paco @DodiGentil_ No caso a sua travou ontem ou vc não assitiu?,chillsecrets,globoplay,globoplay,Twitter for Android,-0.768095,-1
6532,1450428280100855808,@enzo_aleatorios @_oyuura @MoriaVelis Não vão... Enquanto existir algum programa ou filme da Record na Netflix eles… https://t.co/mqGYxPCYSI,felipeandradert,netflix,netflix,Twitter for Android,-0.767708,-1
658,1451228925175214080,#F90BR Que programa ruim…. Quando a Disney tomou conta acabou com tudo e vai acabar com Star Wars também..,cavieira1964,disney+,disney+,Twitter for iPhone,-0.965612,-1
6424,1450472441222946816,Gente e essa apresentação incrível de Cowboy Bebop que a Netflix liberou para todo mundo? Chega deu aquela animada… https://t.co/os6WEZhHZi,canaltech,netflix,netflix,Twitter Web App,0.9950969999999999,1
6021,1450674961283260416,Finalmente iniciando e já adorando SEX EDUCATION - season 3 #Netflix,osiris_br,netflix,netflix,Twitter for iPhone,0.9825959999999999,1
2065,1451711417250369536,"FENÔMENO - #VerdadesSecretas2

#VS2 fechou as suas primeiras 24h com 1.988.342 horas de consumo. É a melhor estréia… https://t.co/n8uHqmTAfr",news_globoplay,globoplay,globoplay,Twitter for Android,0.789146,1
2603,1451010571277684736,"@RomuloEstrela @globoplay Rômulo bebê, casa comigo. https://t.co/otocWYvXDW",dyegomariz,globoplay,globoplay,Twitter for Android,0.503679,1
757,1451010030258597888,"Essa chamada da NBA com o @romulomendonca, que tá sensacional, me faz crer que perdemos um guerreiro da MLB para as… https://t.co/QMAERxK3vT",matanaka,disney+,disney+,Twitter for iPhone,0.799795,1
6911,1450123329763938304,Episódio da semana do @PocsNews sobre o documentário da Netflix Pray Away 👇🏽 https://t.co/69dd77EM4q,atilacarmo,netflix,netflix,Twitter for iPhone,-0.7629739999999999,-1
5688,1450903166032220160,Sr @NetflixBrasil poderia liberar os relacionamentos que vocês descartaram né. Deixa a gente vê tudo vai 💜😢 não sei… https://t.co/w8voDbSmMl,margoperline,netflix,netflix,Twitter for Android,-0.602934,-1
7040,1449950814735413248,"Essa netflix já enjoo, nada diferente tudo repetido aaaaf",LuucassHs,netflix,netflix,Twitter for Android,-0.973721,-1
6524,1450434419580342272,Putaria da Netflix não soltar tudo de uma vez logo. Ódio.,RafaellaNoles,netflix,netflix,Twitter for iPhone,-0.983085,-1
2185,1451362048668053504,só queria ter globoplay dnv p assistir verdades secretas 😭😭😭,ttdevellyn,globoplay,globoplay,Twitter for Android,-0.9563889999999999,-1
1147,1450459708909883392,"@MulherTamarindo Vai de Princesas Disney ou Star Wars no McLanche Feliz?

⁽ᵉᵘ ᵖᵉᵍᵃʳᶦᵃ ˢᵗᵃʳ ʷᵃʳˢ⁾",erikgranato,disney+,disney+,Twitter Web App,0.895077,1
1654,1449446350165250048,Minha vida não é Disney não ou FDP 🧐,BrasiliaFl,disney+,disney+,Twitter for Android,-0.925364,-1
1022,1450643566997422080,O Mc Disney ficou bem quietinho com a punição né? #AFazenda #RoçaAFazenda https://t.co/0N99jaEWTW,descomplicadah,disney+,disney+,Twitter for iPhone,-0.688583,-1
6002,1450698795625467904,"Juliana Paes e Leandro Hassum estrelam Amor Sem Medida, novo filme da Netflix https://t.co/LTG561MXqi https://t.co/7E1nt4tiyP",saladadecinema,netflix,netflix,TweetDeck,0.8254450000000001,1
3219,1452433079952347136,"@globoplay tá complicado em, não funciona por nada",MatheusMarini,globoplay,globoplay,Twitter for iPhone,-0.878223,-1
320,1452045373007175680,Liked on YouTube: Diário de um Banana | Trailer Oficial Dublado | Disney+ https://t.co/EHgL5wy9NQ https://t.co/oMxGEIHXYQ,fps5000,disney+,disney+,WordPress.com,0.740445,1
3035,1450936547335983104,"@victormarcc @globoplay Nossa senhora, consegue não kkkkk
É muita informação que tu vai perder",bcardosomartins,globoplay,globoplay,Twitter for iPhone,-0.7025640000000001,-1
792,1450950660229378048,@mariacahrey e as q ouvi não são ruins mas parece um álbum teen de alguém q ainda está na Disney,shinesza,disney+,disney+,Twitter for iPhone,-0.841158,-1
892,1450797510021115904,Esse eu não vou perder !!! https://t.co/296Ukd5vOn,4onerd,disney+,disney+,WordPress.com,-0.784506,-1
5115,1451292211237249024,💣 Polêmica na Netflix: Funcionários protestam contra produção transfóbica e comediante debocha de manifestantes.… https://t.co/FKckW7Aq9t,MetroJornal,netflix,netflix,TweetDeck,-0.796804,-1
1822,1452420886632480768,@RainhaDosGato @DonaErvilha Mas gente eu assisto várias coisas na globoplay de boa,mlaudeauser,globoplay,globoplay,Twitter for iPhone,0.788959,1
3127,1450864886825750528,"Ahhhh Marasli vai para o globoplay ♥️♥️♥️ 
Amém amém amém
Vou finalizar finalmente https://t.co/a8upYnK7ZP",Lalafd87,globoplay,globoplay,Twitter for Android,0.992993,1
4617,1451737574159101952,"@PatySoelo Boa Noite Amiga Paty vou seguir tua recomendação, tem na Netflix é realmente boa fique bem 🙏🏻🙏🏻🙏🏻 excelente Fim-de-semana",alexans118,netflix,netflix,Twitter Web App,0.994291,1
5051,1451329143820390400,"não é possível que eu vou ter que dar unfollow nessa desgraçada da Netflix s
pra parar de receber spoiler",csolastan,netflix,netflix,Twitter for Android,-0.954139,-1
4416,1452058559722700800,Essa rebelde da Netflix tik tok não vai me descer não,naoseificarso,netflix,netflix,Twitter for iPhone,-0.8819950000000001,-1
3190,1450784332071723008,"eu vou ter que assinar o globoplay, é isso mesmo?",thonkiz_art,globoplay,globoplay,Twitter Web App,-0.526877,-1
4038,1449562840826847232,@mestreryu @DCComics @hbomax @hbomaxbr_portal @DCBatman Tamo junto meu amigo,Cristia60426068,hbomax,hbomax,Twitter for Android,0.9499879999999999,1
3195,1450781356389249024,"@jlmarques_ @globoplay Menino, tô doidinho pra ver rs",uppaulob,globoplay,globoplay,Twitter for Android,0.9256,1
3725,1449564009225760768,"Parei pra ver aquele Maligno, no HBO Max. Tanto tempo esperando. É pra aprender que toda expectativa gerada é uma p… https://t.co/Q6GjR6aDMb",AlexWeigertt,hbo max,hbomax,Twitter for Android,-0.6791510000000001,-1
1150,1450454187511361536,"Artista atualiza princesas da Disney como mulheres modernas e o resultado é surpreendente!

https://t.co/lXyRgMFZ5J",garotasgeeks,disney+,disney+,TweetDeck,0.929947,1
6771,1450193753835180032,"Uma confeitaria em Pequim, na China, se inspirou na produção coreana “Round 6” para lançar um desafio. Por 58 yuans… https://t.co/MN5I6xgcAu",sitevirgula,netflix,netflix,mLabs - Gestão de Redes Sociais,0.557859,1
5415,1451033687005466624,"Cowboy Bebop já está disponível na Netflix!

#CowboyBebop https://t.co/ejcTk1KxIG",_cultura_geek,netflix,netflix,Twitter for Android,0.9258370000000001,1
5682,1450906058625585152,"Hoje só vou trabalhar até ás 17h, estou morrendo de dor de cabeça (nem estudar hoje eu vou). Só preciso da minha ca… https://t.co/WCn5sKLsqV",Jooycinhaa_28,netflix,netflix,Twitter Web App,-0.9639610000000001,-1
384,1451694709957701632,"não quero mesmo eu hein imagina alguém dependendo de mim pro resto da vida????? thanks but no thanks

amo crianças… https://t.co/M0nkIb1mix",laylavictoriart,disney+,disney+,Twitter for iPhone,0.9548120000000001,1
1160,1450431351052718080,"Acabei de ver naquele buscar da outra rede, uma pessoa na Euro Disney fazendo dancinha pra vídeo de TikTok. Taí uma… https://t.co/HQVK5mo6jU",mayzapmelo,disney+,disney+,Twitter for iPhone,0.601667,1
3233,1452446789425111040,@warleyralmeida @TomBombadil1954 @WeiseFranklin @willszr @EduardoLeite_ Aqui ele sinalizando devoção à tribo numa r… https://t.co/c0mcejHNY2,gandralf,globoplay,globoplay,Twitter Web App,0.7388060000000001,1
3681,1449844143493206016,"eu nao acredito que colocaram shameless na hbo max eu quero chorarrrrr
bem quando eu terminei de ver tudo pelo telegram",marcelinomimi,hbo max,hbomax,Twitter for iPhone,-0.866332,-1
147,1452354614737739776,"@sensationcomic Quem não dá liberdade e a Disney 
As vezes eu acho que foi um erro a compra da Marvel pela Disney",SabrinaRafa3,disney+,disney+,Twitter for Android,-0.8755229999999999,-1
6955,1450093629452738560,"""Round 6"" já é a série mais assistida de todos os tempos na Netflix. Então, as fantasias inspiradas nesse fenômeno… https://t.co/j4Ocbp22Xb",FashionBubbles,netflix,netflix,Twitter Web App,0.8250139999999999,1
7278,1449838545699549184,Uma série incrível pra você assistir na Netflix - Melhores séries da net... https://t.co/lYfVCJk1rv via @YouTube,J_u_u_h,netflix,netflix,Twitter Web App,0.980617,1
347,1451912155054452736,"quando eu fizer 32 anos eu vou para a disney, vou vestir a fantasia do pateta e fazer a alegria de várias crianças",hankevanss,disney+,disney+,Twitter for Android,0.951722,1
3106,1450884644241616896,"O relator apontou nove crimes que teriam sido cometidos por Bolsonaro na condução da pandemia. No documento, Renan… https://t.co/edQjOj9Ucj",jornalhoje,globoplay,globoplay,TweetDeck,-0.744169,-1
3552,1450547972152901632,"Narrador: vai perder esse jogão do PSG exclusivo na HBO Max ??

Eu assistindo no mul**can*is: 😳",enzo___teodoro,hbo max,hbomax,Twitter Web App,-0.7987479999999999,-1
2783,1450988876785504256,@carlosunger Globoplay nao funfa aqui,Joel_Antunes,globoplay,globoplay,Twitter for iPhone,-0.750329,-1
2834,1450984408735961088,@globoplay menos de dez minutos de cenas e eu já tô passando mal aqui! #VerdadeSecretasII,EsposoDaManu,globoplay,globoplay,Twitter for iPhone,-0.829644,-1
5392,1451061167472922624,"|  Crítica | 𝗢 𝗛𝗼𝗺𝗲𝗺 𝗗𝗮𝘀 𝗖𝗮𝘀𝘁𝗮𝗻𝗵𝗮𝘀 (Mikkel Serup, 2021)

✅ 𝗦𝗶𝗴𝗮 𝗻𝗼𝘀𝘀𝗮𝘀 𝗿𝗲𝗱𝗲𝘀 𝘀𝗼𝗰𝗶𝗮𝗶𝘀. Nosso projeto está só no iníc… https://t.co/dRLsDkdD7v",dossie_etc,netflix,netflix,Twitter Web App,0.526092,1
141,1452361281772589056,"abracadabra e hallowentown melhores filmes de halloween da Disney
junto da maior o estranho mundo de Jack",L_Diego5,disney+,disney+,Twitter for iPhone,0.910157,1
